Name:Nahid Hasan, Dept:CSE, ID:001, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01511111111, Email:nahid@pub.edu
Name:Md Arif Hasan, Dept:CSE, ID:002, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01575111755, Email:mdarifhasan.pub@gmail.com
Name:Anika Akter, Dept:CSE, ID:003, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01711112222, Email:anika.akter@pub.edu
Name:Sajidul Islam, Dept:CSE, ID:004, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01811113333, Email:sajidul.islam@pub.edu
Name:Tamanna Jahan, Dept:CSE, ID:005, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01911114444, Email:tamanna.jahan@pub.edu
Name:Arifur Rahman, Dept:CSE, ID:006, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01522225555, Email:arifur.rahman@pub.edu
Name:Sharmin Akter, Dept:CSE, ID:007, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01622226666, Email:sharmin.akter@pub.edu
Name:Mahfuz Alam, Dept:CSE, ID:008, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01722227777, Email:mahfuz.alam@pub.edu
Name:Farhana Begum, Dept:CSE, ID:009, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01822228888, Email:farhana.begum@pub.edu
Name:Rafiul Karim, Dept:CSE, ID:010, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01922229999, Email:rafiul.karim@pub.edu
Name:Tasnim Jahan, Dept:CSE, ID:011, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01533330000, Email:tasnim.jahan@pub.edu
Name:Shamim Hossain, Dept:CSE, ID:012, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01633331111, Email:shamim.hossain@pub.edu
Name:Farid Uddin, Dept:CSE, ID:013, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01733332222, Email:farid.uddin@pub.edu
Name:Sumaiya Akter, Dept:CSE, ID:014, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01833333333, Email:sumaiya.akter@pub.edu
Name:Ashraful Islam, Dept:CSE, ID:015, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01933334444, Email:ashraful.islam@pub.edu
Name:Tahmina Rahman, Dept:CSE, ID:016, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01544445555, Email:tahmina.rahman@pub.edu
Name:Khalid Hasan, Dept:CSE, ID:017, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01644446666, Email:khalid.hasan@pub.edu
Name:Marufa Islam, Dept:CSE, ID:018, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01744447777, Email:marufa.islam@pub.edu
Name:Tanvir Hossain, Dept:CSE, ID:019, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01844448888, Email:tanvir.hossain@pub.edu
Name:Shaila Parvin, Dept:CSE, ID:020, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01944449999, Email:shaila.parvin@pub.edu
Name:Nasir Uddin, Dept:CSE, ID:021, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01555550000, Email:nasir.uddin@pub.edu
Name:Rebeka Sultana, Dept:CSE, ID:022, Position:Lecturer, MaxCourses:3, MaxCredits:9, Phone:01655551111, Email:rebeka.sultana@pub.edu
